observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
LKR049,Lukro Ltd,independent,SRC035,ltd,0-49k,SALES_INV,Package IV: Sales Invoicing Add-On,addon,simple,10,modelB,£10/month for 1-5 sales invoices; add-on to bookkeeping package; transaction-based invoicing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR060,Lukro Ltd,independent,SRC035,sole_trader,50-99k,SALES_INV,Package IV: Sales Invoicing Add-On,addon,simple,80,modelB,£80/month for 21-40 sales invoices; add-on to bookkeeping package; transaction-based invoicing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR061,Lukro Ltd,independent,SRC035,sole_trader,100-149k,SALES_INV,Package IV: Sales Invoicing Add-On,addon,simple,120,modelB,£120/month for 41-60 sales invoices; add-on to bookkeeping package; transaction-based invoicing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR062,Lukro Ltd,independent,SRC035,sole_trader,150-199k,SALES_INV,Package IV: Sales Invoicing Add-On,addon,simple,160,modelB,£160/month for 61-80 sales invoices; add-on to bookkeeping package; transaction-based invoicing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR063,Lukro Ltd,independent,SRC035,sole_trader,150-199k,SALES_INV,Package IV: Sales Invoicing Add-On,addon,simple,200,modelB,£200/month for 81-100 sales invoices; add-on to bookkeeping package; transaction-based invoicing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR064,Lukro Ltd,independent,SRC035,sole_trader,200-249k,SALES_INV,Package IV: Sales Invoicing Add-On,addon,simple,240,modelB,£240/month for 101+ sales invoices; add-on to bookkeeping package; transaction-based invoicing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR065,Lukro Ltd,independent,SRC035,partnership,0-49k,SALES_INV,Package IV: Sales Invoicing Add-On,addon,simple,10,modelB,£10/month for 1-5 sales invoices; add-on to bookkeeping package; transaction-based invoicing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR066,Lukro Ltd,independent,SRC035,partnership,0-49k,SALES_INV,Package IV: Sales Invoicing Add-On,addon,simple,20,modelB,£20/month for 6-10 sales invoices; add-on to bookkeeping package; transaction-based invoicing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR067,Lukro Ltd,independent,SRC035,partnership,50-99k,SALES_INV,Package IV: Sales Invoicing Add-On,addon,simple,40,modelB,£40/month for 11-20 sales invoices; add-on to bookkeeping package; transaction-based invoicing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR068,Lukro Ltd,independent,SRC035,partnership,50-99k,SALES_INV,Package IV: Sales Invoicing Add-On,addon,simple,80,modelB,£80/month for 21-40 sales invoices; add-on to bookkeeping package; transaction-based invoicing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR069,Lukro Ltd,independent,SRC035,partnership,100-149k,SALES_INV,Package IV: Sales Invoicing Add-On,addon,simple,120,modelB,£120/month for 41-60 sales invoices; add-on to bookkeeping package; transaction-based invoicing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR070,Lukro Ltd,independent,SRC035,partnership,150-199k,SALES_INV,Package IV: Sales Invoicing Add-On,addon,simple,160,modelB,£160/month for 61-80 sales invoices; add-on to bookkeeping package; transaction-based invoicing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR071,Lukro Ltd,independent,SRC035,partnership,150-199k,SALES_INV,Package IV: Sales Invoicing Add-On,addon,simple,200,modelB,£200/month for 81-100 sales invoices; add-on to bookkeeping package; transaction-based invoicing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
LKR072,Lukro Ltd,independent,SRC035,partnership,200-249k,SALES_INV,Package IV: Sales Invoicing Add-On,addon,simple,240,modelB,£240/month for 101+ sales invoices; add-on to bookkeeping package; transaction-based invoicing,A,https://www.lukro.co.uk/pricing/,2025-01-05,England
